ID,المدينة,اسم المنشأة,درجة تصنيف المنشأة,رقم الجوال,البريد الالكتروني,العنوان,الموقع الالكتروني
1,الدمام,عبدالرحمن حسين باصره للاستشارات الهندسية,6,501112401,Info@basorrah.com,حي البادية -طريق الملك فهد -مبنى 3404- بجوار معرض نيسان,www.basorrah.com
2,الدمام,رواق الخليج للاستشارات الهندسية,2,598869210,admin@rewaqalkhaleej.com,المام شارع الملك عبدالعزيز,https://goo.gl/maps/N8XAzM7XDYF2
3,الدمام,حاتم يوسف التميمي للاستشارات الهندسية,1,533521821,altamimi_engineering@hotmail.com,شارع الملك عبدالعزيز,https://al-tamimi.business.site/posts/3485870467900068281?hl=en-GB
4,الدمام,صروح العمارة للاستشارات الهندسية,6,598987007,mohd_019@hotmail.com,شارع الملك عبدالعزيز,www.sorouhconsult.com
5,الدمام,الماسة للاستشارات الهندسية,5,535110006,almasahconsultingoffice@yahoo.com,الدمام العمامرة,https://almasah.sa/ar/
6,الدمام,صمود للهندسة المعمارية,6,560913974,sumoud@sumoud.com.sa,الدمام,sumoud.com.sa
7,الدمام,شركة الابنية المستدامة للاستشارات الهندسية,6,550180200,amh@sba.com.sa,حي المزروعية - طريق الملك فيصل بن عبدالعزيز,www.sba.com.sa
8,الدمام,المراسم للاستشارات الهندسية,2,569360350,bandar.almarasem@gmail.com,حي محمد بن سعود,www.al-marasem.com
9,الدمام,تكوين للاستشارات الهندسية,5,556888816,d.a.o@hotmail.com,طريق أبو حدرية حي المنار برج العطيشان,www.teo.com.sa
10,الدمام,التقنية الاحترافية للاستشارات الهندسية,6,539938888,maq@protech-eng.com.sa,الفيصلية,protech-eng.com.sa
11,الدمام,شركة لايف للاستشارات الهندسية,6,548330944,arch.mohamedislam@gmail.com,"الخبر, الراكة الشمالية",https://archma.studio/
12,الدمام,شركة الركن الأول للاستشارات الهندسية شركة شخص واحد,3,504818036,info@1ce.com.sa,الدمام حي احد 6181-32263 مقابل مسجد الفرقان,1ceconsultant.com/1CE
13,الدمام,الشركة السعودية للكهرباء,,565101500,ANDossari@ngrid.sa,طريق الملك فهد,www.se.com.sa
14,الدمام,عبدالعزيز عبدالله السويدان للاستشارات الهندسية,6,541445312,mazroea@yahoo.com,المزروعيه شارع الملك سعود,www.alsuwaidanconsultant.com
15,الدمام,القصر الوزين للاستشارات الهندسية,3,595883444,azhar.boumarah@gmail.com,Dammam,demurepoffice.com
16,الدمام,شركة اسس للاستشارات الهندسية شخص واحد,2,582883300,ossiscon@hotmail.com,شارع الأمير محمد - مجمع الواحه,www.ossisconsult.com
17,الدمام,شمول الخليج للإستشارات المهنية,1,569515929,info@shomoulgroup.com,حي الروضة-شارع عبد الله الحارثي,https://www.shomoulgroup.com/
18,الدمام,مهارة الفكرة للهندسة المعمارية,6,594401619,ateeih@gmail.com,شارع الملك عبدالله - طيبة,www.artcon-sa.com
19,الدمام,صلاح عبدالرزاق الذيب للاستشارات الهندسية,6,504830007,satheeb63@gmail.com,حي البديع,www.facebook.com/rasheed.erbea.5
20,الدمام,أبراج المدائن للإستشارات الهندسية,6,595228266,alalwan-offie@windowslive.com,الدمام - حي العزيزيه - شارع الملك عبدالعزيز,https://www.instagram.com/abraj_almadaen/
21,الدمام,شركة ديار الصفوه للاستشارات الهندسية شركة شخص واحد,4,505829400,dr.khodran@yahoo.com,DAMMAM,www.eng-drk.com
22,الدمام,شركة قاب للاستشارات الهندسية,2,506819990,gap@gap.com.sa,الدمام - شارع الامير محمد بن فهد ( الشارع الاول ) - برج الزعبي مقابل محطة نفط - الدور 3,www.gap.com.sa
23,الدمام,شركة إنماء الخليج للاستشارات الهندسية شركة شخص واحد,4,532555325,tamer.omara@egc.sa,4446 - شارع الملك سعود - حى المزروعيه,www.enmaagulf.net/
24,الدمام,اعمار الخليج للاستشارات الهندسية,,565390437,alshuaibi8@gmail.com,الدمام - حي المنار - شارع ابو بكر الصديق,www.emaargulf.com
25,الدمام,الركن العربي للاستشارات الهندسية,2,557726977,arcado2013@gmail.com,الدمام حي احد طريق الملك فهد بن عبدالعزيز,arcado2013.com
26,الدمام,أحمد عبدالرحمن الموسى للاستشارات الهندسية,1,556428290,tarek@almousa-eng.com,ابن خلدون - طريق الملك فهد,www.almousa-eng.com
27,الدمام,مكتب المراسم للاستشارات الهندسية,,569360350,kareemm649@gmail.com,حي محمد بن سعود,www.al-marasem.com
28,الدمام,حامد محمد القحطاني للاستشارات الهندسية,1,555818898,hamed@hbh.com.sa,حي الفيصلية - ش أبو بكر الصديق بجوار بنك الراجحي,www.hbh.com
29,الدمام,علي سعيد آل حصان للاستشارات الهندسية,6,555898515,gm@ashgc.com,خلف أمانة المطقة الشرقية,www.ashgc.com
30,الدمام,فرج الله عبدالله آل راشد للهندسة المعمارية,6,540767767,farajallah.alrashed@gmail.com,"شارع الملك عبدالعزيز، حي العزيزية، المهنا بزنس بارك، الدور الرابع، مكتب 403",www.farchitect.org
31,الدمام,شركة ابراهيم محمد اليحيا للاستشارات الهندسية شركة شخص واحد,6,553071861,alyahya_office@yahoo.com,الدمام شارع الملك عبدالعزيز,www.esdco.com.sa
32,الدمام,الحصان للاستشارات الهندسية,,559396060,jeddah43@yahoo.com,شارع الازدي,www.hec.sa
33,الدمام,مكتب الحصان للاستشارات الهندسية,,509396060,info@hec.sa,شارع الازدي,www.hec.sa
34,الدمام,ركائز التصميم للاستشارات الهندسية,6,502992077,rakaiz_design@hotmail.com,المطقة الشرقية الدمام,www.rakaiz
35,الدمام,طراز المعماريون للاستشارات الهندسية,6,505813665,khalid@terraze.com,الدمام طريق الملك فهد حي عبدالله فؤاد,www.terraze.com
36,الدمام,وليد علي الماضي للاستشارات الهندسية,6,508799997,almadiw@wamco.com.sa,حي السوق,www.wamco.com.sa
37,الدمام,الحداد للاستشارات الهندسية,2,569990640,info@heng.sa,"3744 ابان المحاربي, البديع",www.heng.sa
38,الدمام,المربع للاستشارات الهندسية,1,503944484,mas2454@gmail.com,الدمام - مخطط 91 - شارع الملك فهد,www.almoraba.com
39,الدمام,منار الشرق للاستشارات الهندسية,1,500156508,manar.mec@gmail.com,الفيصلية - شارع أبو بكر الصديق رقم المبني 7841,www.manarsharq.com
40,الدمام,عبدالعزيز محمد السحيمي للاستشارات الهندسية,4,599911705,admin@suhaimidesign.com,الدمام المزروعية,www.suhaimidesign.com
41,الدمام,الودعاني مهندسون استشاريون,2,506944717,alwadeng55@yahoo.com,شارع علي بن ابي طالب,www.alwadaani.com
42,الدمام,التصميم العمراني الابداعي للاستشارات الهندسية,2,534479241,cud.dmm@gmail.com,الفيصلية,cud.dmm
